match,team,Alliance Color,Scouter Name,Auton Cones Lower,Auton Cubes Lower,Auton Cones Mid,Auton Cubes Mid,Auton Cones Upper,Auton Cubes Upper,Auton Charge Station,Teleop Cones Lower,Teleop Cubes Lower,Teleop Cones Mid,Teleop Cubes Mid,Teleop Cones Upper,Teleop Cubes Upper,Piece Pickup,Charge Station,Under Defense,Other Notes,Defense Rating,Defense Notes,Robot Rating,Auton Points,Teleop Points,Total Points
4,11,Blue,Varsha,0,0,0,0,0,0,Not Attempted,0,0,0,0,0,0,N/A,Not Attempted,0 - Was not under heavy defense,Robo down ,0 - did not play defense,,1 - does not contribute much to scoring,0,0,0
44,11,Blue,Mahima,0,0,0,0,1,0,Engaged,0,0,0,0,0,0,N/A,Engaged,0 - Was not under heavy defense,Arm completely broke at the very beginning of the match,0 - did not play defense,None,1 - does not contribute much to scoring,18,10,28
53,11,Blue,Pranav,0,0,0,0,0,0,Engaged,0,5,0,1,0,0,Double Substation,Engaged,0 - Was not under heavy defense,Decent cycle time orders cubes in low node ,0 - did not play defense,,2 - contribute to score or elite defense,12,23,35
67,11,Blue,Sanjay,0,0,0,0,1,0,Engaged,1,1,0,0,1,1,Double Substation,Not Attempted,0 - Was not under heavy defense,good cycle time efficient scorer agile but froze for 30 seconds halfway through match ,0 - did not play defense,died halfway thru and offense oriented,1.5 - not a strong scorer or defender,18,14,32
17,111,Blue,Varsha,0,0,0,1,1,1,Not Attempted,0,3,2,0,5,0,Double Substation,Not Attempted,2 - Scoring impacted by defense,Smooth driving collided with teammates and blocked a few times ,0 - did not play defense,,2.5 - highly competitive robot,16,37,53
26,111,Blue,Mahima,0,0,0,1,1,1,Not Attempted,1,3,2,0,0,0,Double Substation,Engaged,0 - Was not under heavy defense,Never dropped game pieces Took longer time to pick up pieces from double substation ,0 - did not play defense,None,1.5 - not a strong scorer or defender,16,24,40
54,111,Red,Vignesh ,0,0,0,1,1,0,Not Attempted,0,1,2,1,1,1,Both,Engaged,0 - Was not under heavy defense,Fast scoring dropped pieces here and there but recovered ,0 - did not play defense,None ,2 - contribute to score or elite defense,10,31,41
61,111,Blue,Ishan,0,0,0,1,1,0,Not Attempted,0,2,1,1,1,1,Double Substation,Engaged,0 - Was not under heavy defense,No defense mostly offense ,0 - did not play defense,Played just offense but their cycle time was really slow,2 - contribute to score or elite defense,10,30,40
7,111,Blue,Varsha,0,0,0,1,1,1,Not Attempted,1,1,0,0,5,1,Double Substation,Docked,0 - Was not under heavy defense,Human player slow collided with robots a few times ,0 - did not play defense,,2 - contribute to score or elite defense,16,40,56
11,118,Red,Pranav,0,0,0,0,0,0,Engaged,2,1,2,1,1,1,Double Substation,Engaged,0 - Was not under heavy defense,Halped another team upright themselves prefers cones and has consistent cycles ,0 - did not play defense,,2.5 - highly competitive robot,12,35,47
21,118,Blue,Vignesh ,0,0,0,0,0,0,Not Attempted,3,0,2,1,1,0,Floor,Engaged,0 - Was not under heavy defense,No auton collected both cones and cubes only from ground ,0 - did not play defense,No defense ,2 - contribute to score or elite defense,0,30,30
33,118,Red,Vignesh ,0,0,0,0,0,1,Engaged,0,0,3,2,2,1,Floor,Failed,0 - Was not under heavy defense,Fell off the charge station at last moment ,0 - did not play defense,no defense,2 - contribute to score or elite defense,18,30,48
45,118,Blue,,1,0,0,0,0,0,Engaged,0,1,4,0,2,0,Floor,Engaged,0 - Was not under heavy defense,Fast cycle time prefers cones can do cubes off floor ,0 - did not play defense,,2 - contribute to score or elite defense,15,34,49
56,118,Blue,Mahima,0,0,0,0,0,1,Engaged,2,0,2,0,3,0,Floor,Engaged,0 - Was not under heavy defense,Scored majority of points for the team and was the only to engage a bit slow in intaking cubes,0 - did not play defense,None,2 - contribute to score or elite defense,18,35,53
65,118,Red,Prisha ,0,0,1,0,0,0,Failed,3,0,3,1,1,0,Both,Engaged,0 - Was not under heavy defense,Pushed off course easily ,0 - did not play defense,Avoided contact with other robots ,1.5 - not a strong scorer or defender,4,33,37
14,1561,Red,Prisha,0,0,0,0,0,0,Not Attempted,0,0,0,0,0,0,N/A,Not Attempted,0 - Was not under heavy defense,Robot didnt move entire match,0 - did not play defense,None,1 - does not contribute much to scoring,0,0,0
38,1561,Blue,Pranav,0,0,0,0,0,1,Failed,1,2,0,2,0,1,Both,Not Attempted,0 - Was not under heavy defense,Will shoot cubes to their spots ,0 - did not play defense,,1.5 - not a strong scorer or defender,6,17,23
49,1561,Blue,Sanjay,0,0,0,0,0,1,Engaged,0,5,0,0,0,0,Double Substation,Engaged,0 - Was not under heavy defense,pieces seemed to get stuck in intake sometimes and fell out other times plus moderate circle time,0 - did not play defense,no defense ,2 - contribute to score or elite defense,18,20,38
5,1561,Red,Pranav,0,0,0,1,0,1,Not Attempted,0,3,0,2,0,1,Both,Engaged,0 - Was not under heavy defense,Chassis bit with a cube intake strat is to get cubes and just throw them onto their side of feild,0 - did not play defense,,1 - does not contribute much to scoring,10,27,37
67,1561,Red,Arunima,0,1,0,1,0,0,Not Attempted,0,6,0,1,0,0,Floor,Failed,0 - Was not under heavy defense,Shot game pieces rather than placing them but were very accurate and fast at it,0 - did not play defense,None ,2 - contribute to score or elite defense,7,15,22
15,1646,Red,Pranav,0,0,0,0,1,0,Engaged,0,0,0,0,2,1,Double Substation,Engaged,0 - Was not under heavy defense,Tank drive was slow and cycling time was not good ,0 - did not play defense,,1 - does not contribute much to scoring,18,25,43
25,1646,Blue,Vignesh ,0,0,0,0,0,1,Not Attempted,1,0,0,0,1,0,Double Substation,Engaged,0 - Was not under heavy defense,Very slow and wasted time ,0 - did not play defense,No defense,1 - does not contribute much to scoring,6,17,23
39,1646,Blue,Prisha ,0,0,0,0,0,0,Not Attempted,0,0,0,0,0,1,Double Substation,Engaged,3 - Continues to score normally,Good balance ,0 - did not play defense,,1.5 - not a strong scorer or defender,0,15,15
47,1646,Red,Prisha,0,0,0,0,0,1,Not Attempted,0,0,2,1,0,1,Double Substation,Engaged,1 - Cannot score under heavy defense,Easily drops cargo and looses orientation ,0 - did not play defense,Usually caught in traffic ,1.5 - not a strong scorer or defender,6,24,30
59,1646,Blue,Pranav,0,0,0,0,0,0,Engaged,0,0,0,0,0,2,Double Substation,Engaged,0 - Was not under heavy defense,,0 - did not play defense,,1.5 - not a strong scorer or defender,12,20,32
7,1646,Red,Prnav,0,0,0,0,0,1,Engaged,1,0,1,0,0,2,Double Substation,Docked,0 - Was not under heavy defense,Robot arm was heavy and clumsy ,0 - did not play defense,,1 - does not contribute much to scoring,18,21,39
10,1690,Blue,Vignesh ,0,0,0,0,1,0,Not Attempted,0,3,2,1,1,1,Floor,Engaged,3 - Continues to score normally,Picked up pieces from single substation and floor Flings cubes Overall great scorer ,1 - ineffective defense,tried to prevent some robots from going to  the double substation ,2.5 - highly competitive robot,6,35,41
34,1690,Red,Vignesh ,0,0,0,0,1,1,Not Attempted,0,3,2,1,2,1,Floor,Engaged,0 - Was not under heavy defense,Flinged cubes ,0 - did not play defense,No defense,1.5 - not a strong scorer or defender,12,40,52
57,1690,Red,Vignesh ,0,0,0,1,1,1,Not Attempted,0,1,0,0,3,0,Floor,Engaged,3 - Continues to score normally,Score exceptionally well under heavy defense ,0 - did not play defense,No defense ,2 - contribute to score or elite defense,16,27,43
68,1690,Red,Arunima,0,0,0,0,1,0,Not Attempted,0,0,2,1,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Pretty standard good dodging and scoring ,0 - did not play defense,None,2 - contribute to score or elite defense,6,29,35
20,1706,Blue,Mahima,0,0,1,1,0,1,Not Attempted,1,1,1,1,0,0,Both,Engaged,0 - Was not under heavy defense,Low piece scoring cuz they brought cubes to alliance P instead of scoring themselves,0 - did not play defense,None,2.5 - highly competitive robot,14,20,34
3,1706,Blue,Mahima,1,0,1,0,0,1,Engaged,0,2,4,1,0,1,Double Substation,Engaged,0 - Was not under heavy defense,Scored really fast launched cubes ,0 - did not play defense,None,2.5 - highly competitive robot,25,34,59
40,1706,Red,Vignesh,0,0,1,0,0,1,Not Attempted,0,1,1,1,2,1,Both,Docked,0 - Was not under heavy defense,flinged cubes and agile ,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,10,29,39
51,1706,Red,Arunima,0,0,1,1,0,0,Not Attempted,0,0,0,0,0,3,Floor,Engaged,3 - Continues to score normally,Picked up cubes throughout the match and usually scored only in middle node,0 - did not play defense,None,2 - contribute to score or elite defense,8,25,33
65,1706,Blue,Sanjay,0,0,1,1,0,0,Not Attempted,0,5,0,2,0,0,Floor,Engaged,0 - Was not under heavy defense,very efficient picking up floor pieces and stocking in community before arranging into grid,0 - did not play defense,offense focused,2.5 - highly competitive robot,8,26,34
22,1731,Red,Ishan ,0,0,0,0,1,0,Not Attempted,0,1,3,1,1,1,Floor,Docked,1 - Cannot score under heavy defense,Robots blocking affects their scoring if hit game may fall out,1 - ineffective defense,Played offense sometimes blocked other robots,2 - contribute to score or elite defense,6,30,36
29,1731,Red,Ishan,0,1,0,0,1,0,Not Attempted,1,2,2,1,2,0,Floor,Engaged,0 - Was not under heavy defense,Playing offense and nobody was defending them so they were able to score fast,0 - did not play defense,Only played offense and avoided all robots coming its way,2 - contribute to score or elite defense,9,35,44
36,1731,Blue,Pranav,0,0,0,0,1,0,Not Attempted,1,0,3,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Sometimes had trouble lining with pole probably because no limelight also has decent cycle time ,0 - did not play defense,,2.5 - highly competitive robot,6,31,37
57,1731,Red,Prisha,1,0,0,0,0,0,Not Attempted,0,4,0,0,0,0,Floor,Docked,3 - Continues to score normally,Good balance with the varying speeds of robits,0 - did not play defense,,2 - contribute to score or elite defense,3,14,17
67,1731,Blue,Pranav,0,0,0,0,1,0,Engaged,0,0,1,0,2,0,Double Substation,Not Attempted,0 - Was not under heavy defense,Broke midway and played defense rather fast cycle time and speed for movement ,2 - prevented some cargo,Blocked other robots from entering scoring area,1 - does not contribute much to scoring,18,13,31
7,1731,Red,Sanjay,0,0,0,0,1,1,Not Attempted,0,2,2,1,3,0,Double Substation,Engaged,0 - Was not under heavy defense,quick cycle time especially pickup and piece scoring a couple pieces fell out of node ,0 - did not play defense,no defense ,2.5 - highly competitive robot,12,38,50
14,1732,Red,Sanjay,0,0,0,0,1,0,Docked,0,1,2,1,1,1,Double Substation,Engaged,0 - Was not under heavy defense,dropped pieces at substation once or twice swift movement sluggish auton,0 - did not play defense,no defense,2 - contribute to score or elite defense,14,31,45
26,1732,Red,Ishan,0,0,0,0,1,0,Docked,0,0,0,1,3,0,Both,Docked,1 - Cannot score under heavy defense,When two robots were on it after eachother it slowed the scoring down,2 - prevented some cargo,They were able to slow down other teams too or they would just run into eachother and get stuck,2 - contribute to score or elite defense,14,24,38
4,1732,Blue,Vignesh ,0,0,0,0,1,0,Engaged,1,0,2,0,1,1,Floor,Engaged,0 - Was not under heavy defense,Cones and cubes only from floor and single substation sometimes ,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,18,28,46
47,1732,Red,Vignesh,0,0,0,0,1,0,Docked,1,0,0,0,2,0,Floor,Engaged,0 - Was not under heavy defense,Dropped one piece and had trouble picking pieces ,0 - did not play defense,None ,1.5 - not a strong scorer or defender,14,22,36
60,1732,Blue,Pranav,0,0,0,0,0,0,Not Attempted,1,0,1,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Lower cycle time ,0 - did not play defense,,1.5 - not a strong scorer or defender,0,25,25
20,1746,Red,Sanjay,0,1,0,1,0,0,Not Attempted,2,1,2,1,1,0,Double Substation,Docked,0 - Was not under heavy defense,dropped pieces once or twice but effective scorer and quick cycle time,0 - did not play defense,no defense,2 - contribute to score or elite defense,7,26,33
34,1746,Red,Pranav,0,1,0,0,1,0,Not Attempted,0,0,2,0,2,1,Double Substation,Engaged,0 - Was not under heavy defense,Can pick up both peices on floor or substation,0 - did not play defense,,2 - contribute to score or elite defense,9,31,40
42,1746,Red,Arunima,0,0,0,0,0,0,Not Attempted,0,0,3,2,0,1,Double Substation,Engaged,0 - Was not under heavy defense,Slow at scoring comes and objects placed in lower node always rolled out  ,0 - did not play defense,None,2 - contribute to score or elite defense,0,30,30
66,1746,Blue,Mahima,0,1,0,0,0,0,Not Attempted,1,2,1,0,0,0,Double Substation,Engaged,0 - Was not under heavy defense,Failed auton was supposed to score one more cube good at scoreing cones in low node,0 - did not play defense,None,2 - contribute to score or elite defense,3,19,22
8,1746,Blue,Vignesh ,0,1,0,0,0,0,Engaged,0,0,2,1,2,2,Floor,Failed,0 - Was not under heavy defense,only picked up game pieces from single substation had cone stuck on the gripper and fell off charge,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,15,29,44
58,176,Red,Arunima,0,1,0,0,0,0,Not Attempted,0,0,2,0,2,0,Double Substation,Failed,3 - Continues to score normally,Held up during collisions and delays her other bots well overall smooth intake ,0 - did not play defense,None,2 - contribute to score or elite defense,3,16,19
15,180,Blue,Vignesh ,1,0,0,0,0,0,Engaged,0,0,1,1,2,1,Double Substation,Not Attempted,0 - Was not under heavy defense,Cones fell out of their gripper constantly ,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,15,21,36
2,180,Blue,Mahima,0,0,0,0,1,0,Not Attempted,4,0,1,1,1,0,Double Substation,Engaged,0 - Was not under heavy defense,Cycle time of around 6 seconds cube is more consistent a bit slow in placing cubes in grid,0 - did not play defense,None,2 - contribute to score or elite defense,6,29,35
29,180,Blue,Varsha,0,0,0,0,1,0,Engaged,1,1,2,0,1,0,Double Substation,Engaged,0 - Was not under heavy defense,Launches cubes great controlled driving slow at getting game pieces,0 - did not play defense,,1.5 - not a strong scorer or defender,18,25,43
38,180,Red,Vignesh ,0,0,0,0,1,0,Engaged,1,0,3,0,2,1,Both,Engaged,0 - Was not under heavy defense,Agile ,0 - did not play defense,No defense,2 - contribute to score or elite defense,18,36,54
51,180,Red,Vignesh ,0,0,0,0,1,0,Engaged,2,0,2,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Scored a lot and with speed only scored cones ,0 - did not play defense,None,2.5 - highly competitive robot,18,30,48
10,1923,Red,Sanjay,0,1,0,0,0,0,Not Attempted,0,5,0,1,0,1,Floor,Engaged,0 - Was not under heavy defense,very agile quick scoring w shooting mech and used a little antenna piece for directional shooting,0 - did not play defense,no defense,2.5 - highly competitive robot,3,28,31
18,1923,Red,Sanjay,0,1,0,0,0,0,Engaged,0,5,0,0,0,0,Floor,Engaged,0 - Was not under heavy defense,shooting mech extremely effective consistent shots from range and agile movement as well as precise,0 - did not play defense,no defense,3 - likely captain on 1st or 2nd alliance,15,20,35
28,1923,Red,Vignesh,0,0,0,0,0,0,Engaged,0,5,0,1,0,2,Floor,Engaged,0 - Was not under heavy defense,Launched cubes and only cubes Accuracy was good,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,12,33,45
39,1923,Blue,Mahima,0,1,0,0,0,0,Engaged,0,5,0,0,0,0,Floor,Engaged,0 - Was not under heavy defense,Only scored in lower nodes tried scoring twice in already scored node,0 - did not play defense,None,1.5 - not a strong scorer or defender,15,20,35
62,1923,Blue,Sanjay,0,0,0,0,0,1,Docked,0,4,0,1,0,0,Floor,Engaged,0 - Was not under heavy defense,accuracy was lower this match but still made shots at range and consistently,0 - did not play defense,good holds on pieces,2.5 - highly competitive robot,14,21,35
50,1932,Red,Vignesh ,0,0,0,0,0,1,Engaged,0,5,0,0,0,3,Both,Engaged,0 - Was not under heavy defense,Flings cubes,0 - did not play defense,None,1.5 - not a strong scorer or defender,18,35,53
13,195,Red,Sanjay,0,0,0,0,0,1,Engaged,2,0,2,2,2,0,Double Substation,Engaged,0 - Was not under heavy defense,tall figure made robot sway during movement quick substation pickup got caught up in team traffic,0 - did not play defense,no defense ,2.5 - highly competitive robot,18,36,54
25,195,Blue,Mahima,0,1,0,1,0,0,Not Attempted,1,0,1,1,1,1,Double Substation,Engaged,0 - Was not under heavy defense,Almost tipped over Fast at placing cones in mid and high node,0 - did not play defense,None,2 - contribute to score or elite defense,7,28,35
4,195,Blue,Mahima,0,1,0,0,0,0,Not Attempted,0,0,3,2,3,0,Double Substation,Engaged,0 - Was not under heavy defense,Failed auton couldnt pick up cubes very consistent scoring for both cones and cubes in teleop ,0 - did not play defense,None,3 - likely captain on 1st or 2nd alliance,3,40,43
45,195,Blue,Sanjay,0,0,0,1,0,1,Not Attempted,2,0,2,2,1,0,Double Substation,Engaged,0 - Was not under heavy defense,took 4 to 5 attempts to pick up a single piece dropped pieces often extremely long cycle time,0 - did not play defense,no defense,2 - contribute to score or elite defense,10,31,41
10,1987,Red,Pranav,0,0,0,1,1,1,Not Attempted,0,0,2,1,3,0,Double Substation,Engaged,0 - Was not under heavy defense,Good general robot has 2 piece intake ,0 - did not play defense,,2 - contribute to score or elite defense,16,34,50
17,1987,Blue,Mahima,1,1,0,0,0,1,Not Attempted,0,0,2,1,1,0,Floor,Engaged,0 - Was not under heavy defense,Tipped over got back up and engaged scored very consistently had some connection issue and played D,2 - prevented some cargo,Blocked red A teams in mid field by pushing them to corner,2.5 - highly competitive robot,12,24,36
42,1987,Blue,Sanjay,1,1,0,0,0,1,Not Attempted,0,1,2,2,3,0,Both,Docked,0 - Was not under heavy defense,very efficient cycle time with quick scoring and pickup with fully functional auton ,0 - did not play defense,no defense,2.5 - highly competitive robot,12,35,47
56,1987,Red,Arunima,0,0,0,1,1,1,Not Attempted,0,1,2,1,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Overall good scoring mainly only comes ,0 - did not play defense,None,2 - contribute to score or elite defense,16,31,47
63,1987,Blue,Sanjay,0,0,0,1,1,1,Not Attempted,0,2,2,0,3,0,Double Substation,Engaged,0 - Was not under heavy defense,very agile had some issues picking up floor pieces but overall cycle time was good for quick scoring,0 - did not play defense,held pieces ok,2 - contribute to score or elite defense,16,35,51
16,2056,Blue,Varsha,0,0,0,0,0,1,Not Attempted,3,1,2,1,3,1,Floor,Engaged,0 - Was not under heavy defense,Very good driving smooth and controlled ,0 - did not play defense,,2.5 - highly competitive robot,6,47,53
31,2056,Red,Ishan,0,0,0,0,1,0,Docked,2,2,1,0,3,1,Floor,Docked,0 - Was not under heavy defense,No defense only offense ,0 - did not play defense,Didnt hit a single bot or get blocked they played clean offense ,2 - contribute to score or elite defense,14,37,51
43,2056,Red,Vignesh ,1,0,1,0,1,0,Not Attempted,2,0,2,1,1,2,Double Substation,Engaged,0 - Was not under heavy defense,Pretty good auton ,0 - did not play defense,No defense ,2.5 - highly competitive robot,13,38,51
52,2056,Blue,Sanjay,2,0,0,0,1,0,Not Attempted,1,1,4,2,0,1,Both,Engaged,3 - Continues to score normally,Weaved past defenders ,3 - prevented significant scoring,They flipped a robot over while defending ,1.5 - not a strong scorer or defender,12,37,49
59,2056,Red,Vignesh ,0,0,1,0,1,0,Not Attempted,2,0,1,1,1,2,Floor,Engaged,0 - Was not under heavy defense,Moderate scoring crashed on the walls a lot ,0 - did not play defense,None ,1.5 - not a strong scorer or defender,10,35,45
6,2056,Red,Arunima,0,0,0,0,1,0,Not Attempted,1,1,4,1,2,0,Double Substation,Engaged,3 - Continues to score normally,Supercharged Scores mostly cones has some trouble with cubes ,0 - did not play defense,None,2.5 - highly competitive robot,6,39,45
19,226,Blue,,0,0,0,0,1,0,Engaged,0,2,0,0,0,0,Floor,Not Attempted,0 - Was not under heavy defense,Disconnected endgame ,0 - did not play defense,No defense ,1.5 - not a strong scorer or defender,18,4,22
40,226,Red,Arunima,0,0,0,0,1,0,Not Attempted,0,3,0,0,0,0,Floor,Failed,2 - Scoring impacted by defense,Navigation was a little slow and when hit by other robots we had a little trouble ,0 - did not play defense,None,1.5 - not a strong scorer or defender,6,6,12
47,226,Blue,Sanjay,0,0,0,0,1,0,Engaged,0,4,0,0,0,0,Floor,Engaged,0 - Was not under heavy defense,very slow cycle time because limited to lower cubes but very agile and much better scoring outcome,0 - did not play defense,little defense,2 - contribute to score or elite defense,18,18,36
58,226,Red,Vignesh ,1,0,0,0,0,0,Engaged,0,2,1,0,2,0,Floor,Docked,2 - Scoring impacted by defense,,2 - prevented some cargo,,2 - contribute to score or elite defense,15,23,38
8,226,Blue,Varsha,0,0,0,0,1,0,Engaged,0,4,0,0,0,0,Both,Engaged,0 - Was not under heavy defense,Rusty drivers potentially tripped robot ,0 - did not play defense,,2 - contribute to score or elite defense,18,18,36
1,2338,Blue,Varsha,0,0,1,0,0,1,Not Attempted,2,0,2,1,1,1,Double Substation,Engaged,2 - Scoring impacted by defense,Launches cubes poor driving blocked teammates bumps into everything tippy ,0 - did not play defense,,2 - contribute to score or elite defense,10,33,43
22,2338,Blue,Varsha,0,0,0,0,0,0,Not Attempted,1,0,4,0,0,0,Double Substation,Engaged,0 - Was not under heavy defense,Auton glitched not controlled driving,0 - did not play defense,,2 - contribute to score or elite defense,0,24,24
35,2338,Red,Vignesh,0,0,1,0,0,0,Not Attempted,2,0,0,1,3,1,Double Substation,Engaged,1 - Cannot score under heavy defense,Disabled in the middle of the match and under heavy defense ,0 - did not play defense,No defense ,1 - does not contribute much to scoring,4,37,41
44,2338,Blue,Sanjay,0,0,1,0,0,0,Not Attempted,0,0,1,1,3,1,Double Substation,Not Attempted,0 - Was not under heavy defense,agile maneuvering and quick pickup from substation although auton missed pieces,0 - did not play defense,no defense,2 - contribute to score or elite defense,4,26,30
52,2338,Red,Vignesh ,0,0,1,0,0,0,Not Attempted,0,1,0,2,0,1,Double Substation,Not Attempted,1 - Cannot score under heavy defense,Was flipped over mid to end game,0 - did not play defense,None ,1 - does not contribute much to scoring,4,13,17
65,2338,Blue,Mahi,0,0,1,0,0,1,Not Attempted,1,2,2,0,1,0,Double Substation,Engaged,0 - Was not under heavy defense,Focused more on filling up the grid by corrected overflowed nodes but was consistent with cone at M,0 - did not play defense,None,2 - contribute to score or elite defense,10,27,37
14,234,Blue,Varsha,0,0,0,0,0,1,Engaged,2,0,0,0,3,0,Double Substation,Engaged,0 - Was not under heavy defense,Slow at grabbing and scoring good driving ,0 - did not play defense,,1.5 - not a strong scorer or defender,18,29,47
28,234,Blue,Mahima,0,0,0,0,0,1,Engaged,0,1,1,1,2,1,Double Substation,Docked,0 - Was not under heavy defense,Very slow in positioning both cones and cubes for all three nodes including lowest,0 - did not play defense,None,1.5 - not a strong scorer or defender,18,29,47
38,234,Blue,Sanjay,0,0,0,0,0,1,Not Attempted,1,0,0,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,knocked pieces out of nodes good cycle time efficient scoring mech,0 - did not play defense,no defense,2 - contribute to score or elite defense,6,22,28
53,234,Red,Prisha ,0,0,0,0,0,0,Engaged,0,0,0,0,1,0,Floor,Not Attempted,1 - Cannot score under heavy defense,Stopped moving mid match,0 - did not play defense,Cargo was knocked out of robot ,1 - does not contribute much to scoring,12,5,17
66,234,Red,Vignesh ,0,0,0,0,0,1,Engaged,2,1,0,0,1,0,Both,Engaged,0 - Was not under heavy defense,Gripper broke mid match ,0 - did not play defense,None ,1.5 - not a strong scorer or defender,18,21,39
7,234,Blue,Vignesh ,0,0,0,0,0,1,Engaged,1,0,2,1,1,0,Double Substation,Docked,0 - Was not under heavy defense,Scored only from double substation And use pneumatics a little wobbly ,0 - did not play defense,No defense ,2 - contribute to score or elite defense,18,22,40
17,245,Red,Sanjay,0,0,0,0,1,1,Not Attempted,1,0,1,0,2,0,Double Substation,Engaged,0 - Was not under heavy defense,casing got displaced messed up robot maneuvering and scoring greatly ,0 - did not play defense,no defense,1.5 - not a strong scorer or defender,12,25,37
28,245,Blue,Varsha,0,0,0,0,1,1,Not Attempted,0,0,2,1,1,0,Double Substation,Docked,2 - Scoring impacted by defense,Struggled to grab pieces Bumped into robots a lot ,0 - did not play defense,,1.5 - not a strong scorer or defender,12,20,32
3,245,Blue,Vignesh ,0,0,0,0,0,1,Docked,0,2,0,1,0,0,Floor,Engaged,0 - Was not under heavy defense,Kept dropping game pieces and had trouble picking up too Robots gripper got damaged too early in mat,0 - did not play defense,No defense ,1 - does not contribute much to scoring,14,17,31
45,245,Blue,Mahima,0,0,0,0,1,1,Not Attempted,1,0,0,1,2,0,Double Substation,Engaged,0 - Was not under heavy defense,Dropped cubes frequenty Cycle time slow to about 12 sec position at grid quickly with cones and cube,0 - did not play defense,None,1.5 - not a strong scorer or defender,12,25,37
52,245,Blue,Mahima,0,0,0,0,0,1,Not Attempted,0,1,1,0,2,1,Double Substation,Engaged,0 - Was not under heavy defense,Slow at climb and auton failed they were supposed to put in a cube ,0 - did not play defense,None,2 - contribute to score or elite defense,6,30,36
60,245,Red,Vignesh ,0,0,0,0,0,1,Not Attempted,1,0,0,0,0,0,Double Substation,Engaged,1 - Cannot score under heavy defense,Had trouble obtaining a game piece then switched to defense mid match ,3 - prevented significant scoring,prevented the blue alliance from getting to the double substation ,2 - contribute to score or elite defense,6,12,18
